Date,Price,Open,High,Low,Vol.,Change %
"Mar 17, 2022",2694.51,2703.27,2714,2694.51,535.04K,1.33%
"Mar 16, 2022",2659.23,2649.85,2659.9,2630.03,736.35M,1.44%
"Mar 15, 2022",2621.53,2630.31,2641.97,2615.08,604.18M,-0.91%
"Mar 14, 2022",2645.65,2654.93,2661.76,2633.31,636.32M,-0.59%
"Mar 11, 2022",2661.28,2665.95,2672.62,2647.28,797.03M,-0.71%
"Mar 10, 2022",2680.32,2660.86,2682.79,2660.86,613.81M,2.21%
"Mar 08, 2022",2622.4,2617.33,2647.18,2605.81,540.37M,-1.09%
"Mar 07, 2022",2651.31,2680.17,2680.17,2644.1,571.56M,-2.29%
"Mar 04, 2022",2713.43,2736.58,2736.58,2702.34,765.68M,-1.22%
"Mar 03, 2022",2747.08,2729.86,2748.21,2726.35,614.51M,1.61%
"Mar 02, 2022",2703.52,2698.31,2716.46,2692.24,527.95M,0.16%
"Feb 28, 2022",2699.18,2663,2699.18,2658.25,613.47M,0.84%
"Feb 25, 2022",2676.76,2678.47,2694.81,2665.96,664.35M,1.06%
"Feb 24, 2022",2648.8,2689.28,2694.55,2642.63,926.40M,-2.60%
"Feb 23, 2022",2719.53,2727.43,2729.56,2705.31,537.84M,0.47%
"Feb 22, 2022",2706.79,2705.08,2721.84,2690.09,648.40M,-1.35%
"Feb 21, 2022",2743.8,2706.65,2746.62,2694.9,495.30M,-0.03%
"Feb 18, 2022",2744.52,2714.52,2747.08,2711.88,513.52M,0.02%
"Feb 17, 2022",2744.09,2735.11,2770.66,2711.99,611.42M,0.53%
"Feb 16, 2022",2729.68,2719.61,2730.43,2711.34,422.37M,1.99%
"Feb 15, 2022",2676.54,2712.45,2716.45,2665.47,589.04M,-1.03%
"Feb 14, 2022",2704.48,2715.1,2724.72,2688.24,616.34M,-1.57%
"Feb 11, 2022",2747.71,2739.14,2766.7,2735.08,480.52M,-0.87%
"Feb 10, 2022",2771.93,2787.44,2788.27,2761.76,509.61M,0.11%
"Feb 09, 2022",2768.85,2772.63,2773.38,2753.51,539.12M,0.81%
"Feb 08, 2022",2746.47,2767.76,2779.85,2726.72,560.53M,0.05%
"Feb 07, 2022",2745.06,2750.7,2750.7,2718.94,417.84M,-0.19%
"Feb 04, 2022",2750.26,2714.83,2751.8,2712.87,536.15M,1.57%
"Feb 03, 2022",2707.82,2706.34,2735.34,2702.78,435.71M,1.67%
"Jan 28, 2022",2663.34,2617.87,2668.59,2591.53,434.19M,1.87%
"Jan 27, 2022",2614.49,2709.24,2722.86,2614.49,487.73M,-3.50%
"Jan 26, 2022",2709.24,2729.75,2744.14,2708.1,472.65M,-0.41%
"Jan 25, 2022",2720.39,2786.41,2789.62,2703.99,639.96M,-2.56%
"Jan 24, 2022",2792,2823.76,2828.11,2780.68,473.99M,-1.49%
"Jan 21, 2022",2834.29,2837.49,2847.95,2817.11,532.75M,-0.99%
"Jan 20, 2022",2862.68,2842.28,2862.7,2830.97,395.67M,0.72%
"Jan 19, 2022",2842.28,2840.34,2871.79,2832.18,463.83M,-0.77%
"Jan 18, 2022",2864.24,2898.98,2902.79,2857.26,554.04M,-0.89%
